Publisher_ID,Name,Address,Phone,Email
1,Zondervan,"11140 Punta Rassa Lane, Erie, Pennsylvania, United States, 16550",+1 380 098 0081,gaultiero.goundsy@yahoo.com
2,Oxford University Press,"5178 Kennedy Avenue, Valdosta, Georgia, United States, 31605",+1 838 067 0079,crin.dislee@yahoo.com
3,Wiley,"7040 Palermo Place, Springfield, Massachusetts, United States, 01129",+1 434 097 0030,patsy.thomerson@aol.com
4,Macmillan Publishers,"14823 VanBeck Circle, Palatine, Illinois, United States, 60078",+1 019 000 0052,emalee.cheevers@hotmail.com
5,Penguin Random House,"5710 Swallow Court, Lansing, Michigan, United States, 48901",+1 424 028 0048,carlie.lucks@yahoo.com
6,Simon & Schuster,"7494 Kierstin Court, Brooklyn, New York, United States, 11241",+1 169 096 0032,virginie.francioli@hotmail.com
7,Simon & Schuster,"9527 Paxville Place, Denver, Colorado, United States, 80255",+1 504 020 0062,binny.lambie@yahoo.com
8,Macmillan Publishers,"2640 Barrington Court, White Plains, New York, United States, 10633",+1 366 021 0095,dasya.woodstock@hotmail.co.uk
9,HarperCollins,"10170 Veri Loop, Dallas, Texas, United States, 75372",+1 301 092 0016,dukie.kinworthy@hotmail.com
10,HarperCollins,"12585 Evelynton Loop, Columbus, Ohio, United States, 43204",+1 903 022 0047,rolando.maclachlan@hotmail.com
11,Oxford University Press,"10458 Becker Avenue, Tulsa, Oklahoma, United States, 74108",+1 298 078 0037,man.brome@hotmail.com
12,Penguin Random House,"10884 Baldwin Run, San Antonio, Texas, United States, 78260",+1 816 038 0023,sylas.neller@yahoo.com
13,Oxford University Press,"13579 Pospisil Avenue, Philadelphia, Pennsylvania, United States, 19115",+1 282 081 0080,wally.garrat@gmail.com
14,Zondervan,"11268 Astoria Avenue, Rochester, New York, United States, 14609",+1 010 033 0033,herman.gowler@yahoo.com
15,MIT Press,"10020 Bladewood Court, Albuquerque, New Mexico, United States, 87190",+1 202 029 0032,granthem.farr@gmail.com
16,SAGE Publications,"9086 Westminster Court, Sacramento, California, United States, 94230",+1 697 054 0005,di.bolver@gmail.com
17,John Wiley & Sons,"1657 Belknap Avenue, Tacoma, Washington, United States, 98405",+1 401 021 0077,rosie.hutchings@verizon.net
18,Pearson,"14596 Chimborazo Way, Louisville, Kentucky, United States, 40233",+1 979 032 0042,theodosia.corten@bigpond.com
